Thu 5/19/2011 6:00 PM,Cownie Field 2,Middle,51,Metros,Dublin Bay Hurricanes
Tue 5/24/2011 6:00 PM,Cownie Field 2,Middle,31,Carlisle Pride,Committee
Thu 5/26/2011 6:00 PM,Cownie Field 2,Middle,33,Carlisle Pride,FC Des Moines
Tue 5/31/2011 6:00 PM,Cownie Field 2,Middle,47,Committee,Metros
Wed 6/1/2011 6:00 PM,Cownie Field 2,Lower,77,Midnight Mojos,Ames British Foods Hurricanes
Tue 6/7/2011 6:00 PM,Cownie Field 2,Middle,34,Metros,Carlisle Pride
Thu 6/9/2011 6:00 PM,Cownie Field 2,Lower,61,Ames British Foods Hurricanes,Rock Valley PT Eagles
Tue 4/26/2011 8:00 PM,Cownie Field 8,Middle,59,TMC Transportation,Pulse
Thu 5/26/2011 8:00 PM,Cownie Field 8,Middle,43,TMC Transportation,Clockwork Orange
Sat 5/7/2011 12:00 PM,Cownie Weekend 5,Upper,22,United West,Johnston
Sat 5/7/2011 2:00 PM,Cownie Weekend 5,Lower,81,Strikers,Northwest
Sat 5/7/2011 4:00 PM,Cownie Weekend 5,Lower,66,Rock Valley PT Eagles,Messi Heads
